Date,Open,High,Low,Close,Volume,Adj Close
2015-09-24,4.44,4.77,4.41,4.74,21122600,4.671294
2015-09-23,4.75,4.77,4.59,4.59,15132500,4.523468
2015-09-22,4.75,4.80,4.70,4.77,14048700,4.700859
2015-09-21,4.88,4.92,4.81,4.84,10053000,4.769845
2015-09-18,4.95,5.05,4.88,4.89,19825300,4.81912
2015-09-17,4.97,5.13,4.94,5.01,21157100,4.93738
2015-09-16,5.00,5.10,4.99,5.04,47464700,4.966945
2015-09-15,4.89,4.94,4.86,4.90,17552700,4.828975
2015-09-14,4.88,4.91,4.83,4.90,32802400,4.828975
2015-09-11,4.91,4.93,4.82,4.83,13142000,4.759989
2015-09-10,4.87,5.05,4.86,4.97,14917200,4.89796
2015-09-09,5.14,5.16,5.03,5.03,13177500,4.957091
2015-09-08,5.25,5.28,5.09,5.13,10816900,5.015235
2015-09-04,5.20,5.21,5.07,5.09,9685500,4.97613
2015-09-03,5.01,5.25,4.99,5.20,28865900,5.083669
2015-09-02,5.03,5.11,4.99,5.09,27124300,4.97613
2015-09-01,5.11,5.19,5.03,5.07,20771100,4.956578
2015-08-31,5.06,5.29,5.03,5.27,18225600,5.152103
2015-08-28,5.30,5.35,5.26,5.34,12437700,5.220537
2015-08-27,5.27,5.44,5.27,5.37,15585000,5.249866
2015-08-26,5.10,5.24,5.08,5.22,22391300,5.103222
2015-08-25,5.16,5.20,5.07,5.07,26542100,4.956578
2015-08-24,4.84,5.06,4.72,5.02,22435700,4.907696
2015-08-21,5.19,5.21,5.12,5.12,15110700,5.005459
2015-08-20,5.16,5.33,5.14,5.30,20276600,5.181432
2015-08-19,5.35,5.36,5.16,5.19,26251600,5.073893
2015-08-18,5.29,5.53,5.26,5.39,19910700,5.269419
2015-08-17,5.34,5.38,5.28,5.30,16525800,5.181432
2015-08-14,5.32,5.37,5.29,5.34,16474100,5.220537
2015-08-13,5.41,5.43,5.27,5.28,20182700,5.16188
2015-08-12,5.48,5.48,5.38,5.43,18559100,5.308524
2015-08-11,5.60,5.60,5.49,5.57,7970600,5.445392
2015-08-10,5.55,5.67,5.54,5.66,14265800,5.533378
2015-08-07,5.51,5.56,5.49,5.52,8782100,5.39651
2015-08-06,5.65,5.66,5.54,5.57,11095200,5.445392
